artist,tags
Tamio Okuda,japanese | j-pop | j-rock | rock | male vocalists | 90s | roots rock | redhalo to do list | favorite composer | my-fav-artist
Zee Avi,singer-songwriter | indie | female vocalist | female vocalists | alternative | acoustic | malaysian | jazz | malaysia | folk
Joshua Radin,acoustic | singer-songwriter | folk | indie | mellow | american | male vocalists | joshua radin | alternative | pop
Bailey Pelkman,
Tres Hermanas,
Dave Van Ronk,george ellias | ellias | folk | blues | singer-songwriter | acoustic | country | 60s | americana | american
AcousticTrench,guitar | acoustic | classical guitar | acoustic guitar | fingerstyle guitar
Lee DeWyze,american idol | alternative | pop | folk | lee dewyze | rock | american | singer-songwriter | male vocalists | pop rock
Clementine Duo,acoustic | british | duos | united kingdom | great britain | leicester
Brandon Chase,america | american
Austin Basham,folk | indie | singer-songwriter | usa | austin | texas | american | geohash:9v6kpdue5btn | funk_add_to_lidarr_batch_2
Eastmountainsouth,folk | alt-country | singer-songwriter | indie | female vocalists | country | americana | american | acoustic | eastmountainsouth
Peter Bradley Adams,singer-songwriter | folk | indie | alt-country | acoustic pop | acoustic | american | americana | male vocalists | mellow
Suy Galvez,
Howlin' Wolf,blues | chicago blues | delta blues | classic blues | rhythm and blues | electric blues | american | guitar | howlin wolf | 60s
Buddy Guy,blues | chicago blues | guitar | classic rock | rock | blues rock | electric blues | classic blues | buddy guy | american
Mance Lipscomb,blues | texas blues | delta blues | folk | texas | country blues | all | songster | acoustic blues | blues guitar
Violent Femmes,alternative | alternative rock | indie | rock | 80s | post-punk | folk punk | indie rock | punk | american
Drei Rana,
Harley Poe,folk punk | folk | punk | acoustic | horror punk | acoustic punk | usa | horror folk | murderfolk | american
Trevor Hall,acoustic | singer-songwriter | indie | rock | pop | south carolina | folk | american | reggae | usa
Colin & Caroline,pop | folk | singer-songwriter | usa | female vocalists | duo
Ysabelle Cuevas,
Ethan Loukas,
Penny and Sparrow,folk | indie | melancholic | usa | acoustic pop
Sonny Boy Williamson II,blues | harmonica blues | chicago blues | classic blues | blues harp | harmonica | delta blues | american | blues harmonica | electric blues
Shannon & Keast,indie folk | united kingdom | neo mellow | indiecoustica
Mia Rollo,
AJJ,folk punk | punk | folk | anti-folk | indie rock | punk rock | american | indie folk | folk rock | indie
SANNA NORTH,
Pigeon Pit,folk punk | punk | queercore | usa | anti-folk | queer | seattle | olympia | oakland | trans
Kris Allen,american idol | singer-songwriter | pop | acoustic | male vocalists | rock | pop rock | kris allen | male vocalist | american
Lúc,
Edy Hafler,acoustic | guitar | fingerstyle guitar | german
Mat Kearney,singer-songwriter | acoustic | alternative | indie | rock | male vocalists | pop | american | christian | alternative rock
Sakura Fujiwara,j-pop | jazz | jazz pop | japan
Eddie van der Meer,guitar | dutch | cover | instrumental | eddie van der meer | netherlands
Maris Racal,rutracker | upcoming album 2022 | opm | pop | female vocalists | acoustic | filipino | collection | philippines | 4
Apes of the State,folk punk | folk | punk | acoustic | indie folk | pop punk | punk rock | anti-folk | kentsimbtemp2 | pop folk
Gail Blanco,
Emilie Mover,folk | indie | canadian | female vocalist | female vocalists | chill | singer-songwriter | grey's anatomy | new | mountain
William Fitzsimmons,folk | singer-songwriter | acoustic | indie | mellow | indie folk | american | alternative | melancholic | william fitzsimmons
Vivid Color,
Albert Collins,blues | blues rock | guitar | classic rock | rock | texas blues | albert collins | electric blues | american | guitar virtuoso
Jon McLaughlin,piano rock | singer-songwriter | pop | acoustic | indie | male vocalists | piano | rock | pop rock | alternative
EJ De Perio,
Beyond The Guitar,video game music | guitar | usa
Hannah's Yard,singer-songwriter | acoustic pop | funk_add_to_lidarr_batch_11 | indiecoustica
Vendredi,ambient | french | psytrance | experimental | no format | electronica
Chris Cresswell,acoustic | folk punk | singer-songwriter | canadian | canada | punk | folk | folk-punk | acoustic rock | punk rock
Chuck Ragan,folk | acoustic | singer-songwriter | folk punk | indie | american | alt-country | country | folk rock | punk
Tim Vantol,singer-songwriter | folk | acoustic | punk rock | punk | rock | netherlands | punk-rock | folk rock | folk punk
Chad Hates George,folk punk | americana | usa | american | anti folk
Acoustic Guitar Collective,
Jules Larson,female vocalists | indie | indie rock | rock | kgrl | singer-songwriter | usa | tagme | fandom: greysanatomy | castle soundtrack
Rosi Golan,folk | female vocalists | singer-songwriter | acoustic | indie | kgrl | folk pop | israelian | female vocalist | female
Will Moore,tgaoatcore
C.W. Stoneking,blues | australian | voodoo rhythm | dirty rotten blues | blues calypso jungle jazz | americana | australia | jazz | all | country blues
Johnnyswim,folk | soul | rock | indie | singer-songwriter | usa | blues | female vocals | pop | american
Drew Holcomb,acoustic pop | folk | indiecoustica
Marc Broussard,soul | singer-songwriter | blues | rock | acoustic | marc broussard | funky | bayou soul | contemporary blues | gray charles
Mindy Smith,folk | singer-songwriter | female vocalists | country | alt-country | americana | acoustic | mindy smith | indie | american
Anya Marina,indie | female vocalists | folk | singer-songwriter | acoustic | indie pop | american | alternative | female vocalist | pop
SafetySuit,alternative rock | rock | alternative | indie rock | discoverockult | pop rock | american | male vocalists | post-grunge | indie
Filip Nordin,
Melvin Taylor,blues | guitar | singer-songwriter | blues-rock | guitar virtuoso | all | blues rock | melvin taylor | melvintaylor | allboutguitar hamburg
Luther Allison,blues | blues rock | electric blues | guitar | classic blues | chicago blues | luther allison | rock | american | guitar blues
We The Heathens,folk punk | folk | crust | punk | riot folk | acoustic | usa | folk rock | punk rock | crust punk
Ramshackle Glory,folk punk | punk | folk | punk rock | pat the bunny | anarcho-punk | acoustic | acoustic punk | anti-folk | folk rock
Eric Lumiere,acoustic | rock | male vocalists | alternative | us-singer | hairy chest
Carly Lyman,
Michelle Featherstone,female vocalists | indie | singer-songwriter | piano | one tree hill | british | folk | melancholy | female vocalist | kgrl
Big Mama Thornton,blues | female vocalists | rhythm and blues | classic blues | old blues | texas blues | 50s | big mama thorton | alabama | american
Neulore,indie rock | folk rock | rock | folk | all | americana | american | indie folk | singer/songwriter | have seen live
Nathan Angelo,singer-songwriter | pop | acoustic | soul | rock | piano | alternative rock | cathartic | nathan angelo | pop rock
Andrew Ripp,acoustic | singer-songwriter | pop rock | alternative rock | alternative | country | rock | indie rock | american | christian
Covers Culture,
Keisha White,rnb | soul | british | female vocalists | pop | r&b | uk urban | england | urban | grey's anatomy
Beans on Toast,folk | singer-songwriter | acoustic | british | lo-fi | indie | english | spotify | punk | punk rock
Not Half Bad,folk punk | punk | punk rock | rock | singer-songwriter | usa | folk | us | all | american
"Defiance, Ohio",folk punk | punk | folk | acoustic | folk-punk | punk rock | acoustic punk | plan-it-x | indie | riot folk
NORMANDY,post-rock | rock | ambient | alternative | emo | alternative rock | indie | screamo | christian rock | post-hardcore
Parker Jenkins,
Sunset & Highland,
Shikao Suga,japanese | j-pop | funk | anime | jpop | male vocalists | pop | japan | singer-songwriter | rock
Guus Dielissen,dutch | guitar | fingerstyle guitar
Naotaro Moriyama,j-pop | japanese | folk | male vocalists | jpop | singer-songwriter | easy listening | acoustic | pop | asian
Postcards & Polaroids,acoustic cover | acoustic pop | indiecoustica
Yu Takahashi,j-pop | japanese | j-rock | singer-songwriter | male vocalists | pop | jrock | asian pop | asian rock | asian music
Unkle Bob,indie | alternative | scottish | rock | greys anatomy | indie rock | grey's anatomy | british | indie pop | check
The Cameron Collective,
Kurei,usa
Little Walter,blues | harmonica blues | chicago blues | harmonica | delta blues | classic blues | little walter | electric blues | 50s | blues harp
Matt Pless,folk | folk punk | baltimore | acoustic | political | singer-songwriter | punk | punk rock | american | comedy
Jay Filson,
Ankle Grease,punk | folk punk | bands to avoid | usa
John Elliott,parade | american | american in love | backyards
Zak Manley,
Linn Brikell,pop
Rosie Thomas,folk | singer-songwriter | female vocalists | indie | acoustic | american | indie pop | alternative | indie folk | rosie thomas
Celestial Conscience,acoustic | guitar | acoustic guitar | instrumental
Erato,gothic rock | swedish | female vocalists | rock | belgian | goth | alternative | gothic | sverige | a cappella
Caj Morgan,
Kazuyoshi Saito,rock | japanese | folk | j-rock | j-pop | singer-songwriter | blues | acoustic | folk rock | jrock
Brendan James,singer-songwriter | folk | piano | mellow | male vocalist | folk-rock | indie | need to rate | male vocalists | new hampshire
Calibretto 13,christian punk | punk | christian | folk punk | acoustic punk | christian rock | usa | indiana | horror punk | american
Laura Jane Grace,folk punk | punk rock | singer-songwriter | punk | queer | trans | usa | female vocalists | female fronted punk | american
Grace Petrie,singer-songwriter | folk | british | england | acoustic | english | political | female vocalists | queer | protest
Salty Snacks,
Michael Logen,singer-songwriter | ourstage | acoustic | pop | singer/songwriter | male | acoustic pop | under 2000 listeners | male vocalists | the bedford
Ice Seguerra,acoustic | opm | filipino
Jimmy Rogers,blues | chicago blues | harmonica blues | harmonica | country blues | american | classic blues | all | guitar | jimmy rogers
Steve Pulvers,
Rory Block,blues | female vocalists | folk | delta blues | female | guitar | acoustic | singer-songwriter | rory block | country blues
Bobbylene,
Joey Cape,acoustic | singer-songwriter | alternative | punk rock | punk | american | songwriter | solo | folk | acoustic punk
Son&Dad,
Cannon's Jug Stompers,blues | jug band | folk | oldies | anthology of american folk music | country | american | memphis | cannon s jug stompers | all
J-Que Beenz,folk
Roberto Diana,acoustic | guitar | instrumental | acoustic guitar | slide guitar | fingerstyle guitar | instrumental music | peaceful guitar | instrumental guitar music | weissenborn
Bootstraps,acoustic | mellow | rock | indie | indie rock | alternative | american | los angeles | male | california
Graham Colton,singer-songwriter | acoustic | rock | acoustic rock | pop rock | indie | pop | male vocalists | american | graham colton
Correatown,singer-songwriter | indie | indie folk | all | female vocalists | folk | melodic | grey's anatomy | home collection | california
Aberola,
She/Her/hers,queercore | folk punk | lo-fi | queer | punk | usa | folk | trans | emo | alternative rock
Corporate Hearts,folk punk | acoustic | rock | folk | punk | usa | punk rock | punk-rock | folk rock | american
Dan Andriano in the Emergency Room,acoustic | singer-songwriter | indie rock | american | melancholy | alkaline trio | rock | 7 stars | punk | folk
Limoblaze,gospel | christian | afrobeat | hip-hop | nigerian | african | nigeria | afro gospel | afro
Criolo,rap | brazilian | hip-hop | samba | mpb | hip hop | brasil | rap nacional | alternative | soul
BaianaSystem,dub | mpb | brazilian | brasil | brazil | bahia | electronic | afoxe | sound system | experimental
Plastilina Mosh,alternative | mexico | electronic | rock en espanol | latin | rock | mexican | rock en español | alternative rock | electronica
Jorge Drexler,singer-songwriter | uruguay | cantautor | latin | spanish | folk | acoustic | uruguayan | pop | male vocalists
Juanafé,cumbia | latin | latinoamerica | chile | rumba | cumbia revival
Samuca e a Selva,soul | latin | alternative | brazilian | groove
Jackie Mittoo,reggae | ska | rocksteady | dub | jazz | jamaica | jamaican | funk | skinhead reggae | soul
Pompi,
Menahan Street Band,funk | soul | jazz | jazz fusion | afrobeat | instrumental | new york | daptone | fusion | usa
Los Pirañas,cumbia | colombia | experimental | psychedelic | colombian | latin | psychedelic rock | cumbia experimental | male vocalists | vallenato
Los Amigos Invisibles,funk | acid jazz | latin | venezuela | dance | venezuelan | jazz | funky | los amigos invisibles | chillout
Metá Metá,mpb | brazilian | jazz | experimental | samba | vanguarda paulista | brazil | jazz-rock | jazz rock | rock
Mandrill,funk | soul | jazz | fusion | 70s | all | afrobeat | latin-funk | latin | psychedelic
Hugh Masekela,jazz | afrobeat | african | african jazz | world | south africa | trumpet | south african | africa | funk
Manu Dibango,afrobeat | jazz | african | funk | world | cameroon | saxophone | africa | afro-jazz | makossa
Ernest Ranglin,jazz | reggae | guitar | ska | jamaica | world | dub | jamaican | all | funky
Calle 13,latin | reggaeton | hip hop | hip-hop | puerto rico | rap | spanish | puerto rican | electronic | chill906
El Michels Affair,funk | soul | jazz | afrobeat | instrumental | all | new york | wu-tang | american | hip hop
Ali Farka Touré,african | blues | world | mali | africa | world music | desert blues | malian | folk | african blues
Afrocidade,brazil | brasil | nacional | brazilian | bahia
OQuadro,hip-hop | hip hop | brazil | brasil | male vocalists | brazilian | ragga
Nomade Orquestra,jazz | instrumental | brazil | brasil | trumpet | psychedelic | guitar | trombone | latin | flute
Romperayo,colombia | cumbia | tropical | latin | instrumental | psychedelic | electronic | world | saxophone | experimental
William Onyeabor,afrobeat | funk | nigeria | african | african funk | nigerian | afro-beat | africa | afro-funk | experimental
Bixiga 70,afrobeat | funk | instrumental | brazilian | brazil | world | brasil | jazz | trumpet | latin
Orquestra Brasileira de Música Jamaicana,ska | brazilian | ska-jazz | brazilian ska | jazz | brazil | dub | instrumental ska | rocksteady | brasil
Tony Allen,afrobeat | funk | jazz | african | world | nigeria | nigerian | africa | world music | soul
CalledOut Music,rnb | gospel | christian rnb | christian
Bang Data,hip hop | electronic | hip-hop | latin | alternative | reggae | rock | alternative rock | electro | usa
QUITAPENAS,cumbia | latin | los angeles | usa | vocal | saxophone | american | keyboard | bass | california
Morbo y Mambo,funk | afrobeat | argentina | funky | dub | instrumental | latin jazz | latino | rock alternativo | space funk
Letta Mbulu,south africa | african | world | jazz | all | south african | female vocalists | africa | soul | afrobeat
Subhira,new age | fusion | chile | instrumental | chilean | trance | folk | progresivo
La Misa Negra,cumbia | latin | latino | usa | 10s | latin alternative | bay area | under 2000 listeners | cumbia fusion
Newen Afrobeat,chile | afrobeat | chilean | funk_add_to_lidarr_batch_19
El Hijo De La Cumbia,cumbia | latin electronica | world music | argentina | latin | chillout | lounge | electronica | dance | electronic
The Budos Band,funk | afrobeat | jazz | soul | instrumental | jazz-funk | afro-soul | american | usa | daptone
The New Mastersounds,funk | jazz | jazz funk | deep funk | british | acid jazz | instrumental | all | modern funk | jazz-funk
Mulatu Astatke,jazz | african | ethiopia | ethiopian | world | ethio-jazz | ethiopian jazz | funk | afrobeat | africa
TJ Cream,
Caê,brazil | mpb | brasileira | nova mbp
Jor'dan Armstrong,gospel | pop | contemporary christian | inspirational | auto-tune | r&b | christian
Sarah Téibo,religious | christian | holy hip-hop | christian rap | christian hip hop | christian hip-hop | nigeria | urban contemporary gospel
Timoneki,
Becca Folkes,
Thiago França,jazz | brasil | saxophone | brazilian | samba | brazil | experimental | mpb | latin jazz | choro
Money Chicha,united states | usa | chicha | cumbia | psychedelic cumbia
Breakestra,funk | jazz | soul | hip hop | breaks | hip-hop | american | modern funk | california | funky
Africania,ijexa | afoxe
Abayomy Afrobeat Orquestra,afrobeat | jazz | brazil | latin | mpb | brazilian | funk | afro-jazz | instrumental | latin jazz
Prinx Emmanuel,
Cymande,funk | soul | afrobeat | 70s | rhythm and blues | jazz | london | british | england | psychedelic soul
Monophonics,funk | soul | afrobeat | psychedelic | nu funk | cool | usa | jazz-funk | california | rnb
Amplexos,experimental | indie | rock alternativo | alternative rock | rock nacional | world | alternative | cosmic | brazilian | afrobeat
The Bongo Hop,france | french | cumbia | jazz | colombia | world | latin | funk_add_to_lidarr_batch_26 | colombian
La Cumbia Chicharra,cumbia | latin | argentina
Fela Kuti,afrobeat | jazz | funk | african | world | nigeria | nigerian | 11 | africa | world music
Orgone,funk | technical death metal | soul | afrobeat | death metal | funky | jazz | progressive death metal | los angeles | disco
Grupo Fantasma,latin | funk | cumbia | austin | latino | sxsw 2008 | sxsw 2009 | lowlands 2009 | funky | psychedelic
Lack Of Afro,funk | jazz | soul | broken beat | electronic | breakbeat | deep funk | modern funk | england | funky
The Bamboos,funk | soul | deep funk | australian | tru thoughts | jazz | funky | jecks | groove | rock
